date,Sample Name,Transaction Amount,Category,days_since_start
2024-01-01,New Year's Party Supplies,-75.5,Entertainment,0
2024-01-02,Grocery Store,-92.45,Food,1
2024-01-03,Gas Station,-48.75,Transportation,2
2024-01-04,Coffee Shop,-5.25,Food,3
2024-01-05,Electric Company,-115.0,Utilities,4
2024-01-06,Restaurant,-70.25,Food,5
2024-01-07,Online Streaming Service,-14.99,Entertainment,6
2024-01-08,Pharmacy,-28.5,Health,7
2024-01-09,Gym Membership,-50.0,Health,8
2024-01-10,Mobile Phone Bill,-75.0,Utilities,9
2024-01-11,Bookstore,-32.99,Education,10
2024-01-12,Public Transport,-30.0,Transportation,11
2024-01-13,Winter Clothing,-120.75,Shopping,12
2024-01-14,Supermarket,-88.5,Food,13
2024-01-15,Internet Service,-60.0,Utilities,14
2024-01-15,Paycheck,3000.0,Income,14
2024-01-16,Hair Salon,-60.0,Personal Care,15
2024-01-17,Home Improvement Store,-95.25,Home Improvement,16
2024-01-18,Fast Food,-14.5,Food,17
2024-01-19,Movie Tickets,-30.0,Entertainment,18
2024-01-20,Pet Food,-40.75,Pets,19
2024-01-21,Car Insurance,-150.0,Insurance,20
2024-01-22,Doctor's Visit,-75.0,Health,21
2024-01-23,Office Supplies,-22.5,Office,22
2024-01-24,Lunch with Colleagues,-32.0,Food,23
2024-01-25,Charity Donation,40.0,Donations,24
2024-01-26,Parking Fee,-12.0,Transportation,25
2024-01-27,Home Decor,-65.5,Home Improvement,26
2024-01-28,Gym Equipment,-180.0,Health,27
2024-01-29,Concert Tickets,-110.0,Entertainment,28
2024-01-30,Grocery Delivery,-85.75,Food,29
2024-01-31,Rent Payment,-1200.0,Housing,30
2024-02-01,Paycheck,3000.0,Income,31
2024-02-02,Gas Station,-46.5,Transportation,32
2024-02-03,Online Retailer,-85.99,Shopping,33
2024-02-04,Coffee Shop,-4.75,Food,34
2024-02-05,Water Bill,-45.0,Utilities,35
2024-02-06,Restaurant,-55.25,Food,36
2024-02-07,Streaming Service,-14.99,Entertainment,37
2024-02-08,Pharmacy,-35.25,Health,38
2024-02-09,Gym Membership,-50.0,Health,39
2024-02-10,Mobile Phone Bill,-75.0,Utilities,40
2024-02-11,Online Course,-199.99,Education,41
2024-02-12,Public Transport,-30.0,Transportation,42
2024-02-13,Valentine's Day Gift,-89.5,Shopping,43
2024-02-14,Supermarket,-95.75,Food,44
2024-02-15,Internet Service,-60.0,Utilities,45
2024-02-15,Paycheck,3000.0,Income,45
2024-02-16,Spa Day,-120.0,Personal Care,46
2024-02-17,Hardware Store,-45.25,Home Improvement,47
2024-02-18,Fast Food,-13.99,Food,48
2024-02-19,Video Game Purchase,-59.99,Entertainment,49
2024-02-20,Pet Grooming,-65.0,Pets,50
2024-02-21,Home Insurance,-200.0,Insurance,51
2024-02-22,Dentist Appointment,-150.0,Health,52
2024-02-23,Printer Ink,-38.75,Office,53
2024-02-24,Dinner Party Supplies,-85.5,Food,54
2024-02-25,Charity Run Entry Fee,30.0,Donations,55
2024-02-26,Taxi Ride,-25.0,Transportation,56
2024-02-27,Furniture Store,-350.0,Home Improvement,57
2024-02-28,Fitness Class,-20.0,Health,58
2024-02-29,Theater Tickets,-140.0,Entertainment,59
2024-03-01,Paycheck,3000.0,Income,60
2024-03-02,Grocery Store,-102.3,Food,61
2024-03-03,Gas Station,-49.75,Transportation,62
2024-03-04,Coffee Shop,-5.5,Food,63
2024-03-05,Electric Company,-105.0,Utilities,64
2024-03-06,Restaurant,-68.25,Food,65
2024-03-07,Movie Rental,-5.99,Entertainment,66
2024-03-08,Pharmacy,-42.75,Health,67
2024-03-09,Gym Membership,-50.0,Health,68
2024-03-10,Mobile Phone Bill,-75.0,Utilities,69
2024-03-11,Textbooks,-150.99,Education,70
2024-03-12,Public Transport,-30.0,Transportation,71
2024-03-13,Spring Clothing,-135.5,Shopping,72
2024-03-14,Supermarket,-92.25,Food,73
2024-03-15,Internet Service,-60.0,Utilities,74
2024-03-15,Paycheck,3000.0,Income,74
2024-03-16,Haircut,-45.0,Personal Care,75
2024-03-17,Garden Supplies,-75.25,Home Improvement,76
2024-03-18,Fast Food,-11.99,Food,77
2024-03-19,Concert Tickets,-85.0,Entertainment,78
2024-03-20,Pet Toys,-35.5,Pets,79
2024-03-21,Car Maintenance,-250.0,Transportation,80
2024-03-22,Eye Doctor,-100.0,Health,81
2024-03-23,Office Chair,-189.99,Office,82
2024-03-24,Brunch with Friends,-45.0,Food,83
2024-03-25,Charitable Donation,75.0,Donations,84
2024-03-26,Parking Permit,-40.0,Transportation,85
2024-03-27,Home Cleaning Service,-120.0,Home Improvement,86
2024-03-28,Yoga Mat,-30.0,Health,87
2024-03-29,Music Festival Tickets,-200.0,Entertainment,88
2024-03-30,Grocery Delivery,-88.5,Food,89
2024-03-31,Rent Payment,-1200.0,Housing,90
2024-04-01,Paycheck,3000.0,Income,91
2024-04-02,Gas Station,-51.25,Transportation,92
2024-04-03,Online Retailer,-76.5,Shopping,93
2024-04-04,Coffee Shop,-4.95,Food,94
2024-04-05,Water Bill,-48.0,Utilities,95
2024-04-06,Restaurant,-72.5,Food,96
2024-04-07,Streaming Service,-14.99,Entertainment,97
2024-04-08,Pharmacy,-31.75,Health,98
2024-04-09,Gym Membership,-50.0,Health,99
2024-04-10,Mobile Phone Bill,-75.0,Utilities,100
2024-04-11,Language Learning App,-79.99,Education,101
2024-04-12,Public Transport,-30.0,Transportation,102
2024-04-13,Electronics Store,-299.99,Shopping,103
2024-04-14,Supermarket,-97.25,Food,104
2024-04-15,Internet Service,-60.0,Utilities,105
2024-04-15,Paycheck,3000.0,Income,105
2024-04-16,Nail Salon,-40.0,Personal Care,106
2024-04-17,Home Repair,-150.25,Home Improvement,107
2024-04-18,Fast Food,-15.75,Food,108
2024-04-19,Amusement Park Tickets,-120.0,Entertainment,109
2024-04-20,Pet Vaccination,-85.0,Pets,110
2024-04-21,Life Insurance Premium,-75.0,Insurance,111
2024-04-22,Chiropractor,-80.0,Health,112
2024-04-23,Stationery,-25.5,Office,113
2024-04-24,Food Truck Lunch,-18.0,Food,114
2024-04-25,Fundraiser Contribution,50.0,Donations,115
2024-04-26,Uber Ride,-35.0,Transportation,116
2024-04-27,Landscaping Service,-200.0,Home Improvement,117
2024-04-28,Fitness Tracker,-129.99,Health,118
2024-04-29,Comedy Show Tickets,-60.0,Entertainment,119
2024-04-30,Grocery Delivery,-91.75,Food,120
2024-05-01,Paycheck,3000.0,Income,121
2024-05-02,Grocery Store,-108.5,Food,122
2024-05-03,Gas Station,-47.25,Transportation,123
2024-05-04,Coffee Shop,-5.75,Food,124
2024-05-05,Electric Company,-95.0,Utilities,125
2024-05-06,Restaurant,-80.25,Food,126
2024-05-07,Movie Tickets,-28.0,Entertainment,127
2024-05-08,Pharmacy,-38.5,Health,128
2024-05-09,Gym Membership,-50.0,Health,129
2024-05-10,Mobile Phone Bill,-75.0,Utilities,130
2024-05-11,Online Course,-149.99,Education,131
2024-05-12,Public Transport,-30.0,Transportation,132
2024-05-13,Summer Clothing,-145.75,Shopping,133
2024-05-14,Supermarket,-94.5,Food,134
2024-05-15,Internet Service,-60.0,Utilities,135
2024-05-15,Paycheck,3000.0,Income,135
2024-05-16,Massage,-85.0,Personal Care,136
2024-05-17,Outdoor Furniture,-399.99,Home Improvement,137
2024-05-18,Fast Food,-12.5,Food,138
2024-05-19,Theme Park Tickets,-180.0,Entertainment,139
2024-05-20,Pet Boarding,-120.0,Pets,140
2024-05-21,Car Insurance,-150.0,Insurance,141
2024-05-22,Dental Cleaning,-95.0,Health,142
2024-05-23,Desk Organizer,-35.99,Office,143
2024-05-24,Picnic Supplies,-55.0,Food,144
2024-05-25,Charity Gala Ticket,150.0,Donations,145
2024-05-26,Train Ticket,-65.0,Transportation,146
2024-05-27,Air Conditioner Repair,-225.0,Home Improvement,147
2024-05-28,Gym Equipment,-175.0,Health,148
2024-05-29,Music Concert Tickets,-150.0,Entertainment,149
2024-05-30,Grocery Delivery,-87.25,Food,150
2024-05-31,Rent Payment,-1200.0,Housing,151
2024-06-01,Paycheck,3000.0,Income,152
2024-06-02,Gas Station,-52.75,Transportation,153
2024-06-03,Online Retailer,-95.99,Shopping,154
2024-06-04,Coffee Shop,-5.25,Food,155
2024-06-05,Water Bill,-50.0,Utilities,156
2024-06-06,Restaurant,-70.5,Food,157
2024-06-07,Streaming Service,-14.99,Entertainment,158
2024-06-08,Pharmacy,-42.25,Health,159
2024-06-09,Gym Membership,-50.0,Health,160
2024-06-10,Mobile Phone Bill,-75.0,Utilities,161
2024-06-11,Professional Development Seminar,-250.0,Education,162
2024-06-12,Public Transport,-30.0,Transportation,163
2024-06-13,Father's Day Gift,-85.0,Shopping,164
2024-06-14,Supermarket,-99.75,Food,165
2024-06-15,Internet Service,-60.0,Utilities,166
2024-06-15,Paycheck,3000.0,Income,166
2024-06-16,Hair Coloring,-120.0,Personal Care,167
2024-06-17,Gardening Tools,-85.5,Home Improvement,168
2024-06-18,Fast Food,-14.25,Food,169
2024-06-19,Movie Streaming Rental,-6.99,Entertainment,170
2024-06-20,Pet Supplies,-55.0,Pets,171
2024-06-21,Renters Insurance,-15.0,Insurance,172
2024-06-22,Urgent Care Visit,-100.0,Health,173
2024-06-23,Printer Paper,-18.99,Office,174
2024-06-24,Restaurant Gift Card Purchase,-50.0,Gifts,175
2024-06-25,Local Charity Donation,40.0,Donations,176
2024-06-26,Car Rental,-85.0,Transportation,177
2024-06-27,Home Security System,-299.99,Home Improvement,178
2024-06-28,Fitness Class Package,-150.0,Health,179
2024-06-29,Art Gallery Exhibition,-25.0,Entertainment,180
2024-06-30,Grocery Delivery,-92.5,Food,181
2024-07-01,Paycheck,3000.0,Income,182
2024-07-02,Grocery Store,-115.3,Food,183
2024-07-03,Gas Station,-54.25,Transportation,184
2024-07-04,Coffee Shop,-6.5,Food,185
2024-07-05,Electric Company,-110.0,Utilities,186
2024-07-06,Restaurant,-85.75,Food,187
2024-07-07,Fireworks Show Tickets,-40.0,Entertainment,188
2024-07-08,Pharmacy,-36.5,Health,189
2024-07-09,Gym Membership,-50.0,Health,190
2024-07-10,Mobile Phone Bill,-75.0,Utilities,191
2024-07-11,Language Learning Books,-65.99,Education,192
2024-07-12,Public Transport,-30.0,Transportation,193
2024-07-13,Beach Gear,-125.5,Shopping,194
2024-07-14,Supermarket,-97.25,Food,195
2024-07-15,Internet Service,-60.0,Utilities,196
2024-07-15,Paycheck,3000.0,Income,196
2024-07-16,Sunscreen and Skincare,-45.0,Personal Care,197
2024-07-17,Patio Furniture,-350.0,Home Improvement,198
2024-07-18,Ice Cream Shop,-8.99,Food,199
2024-07-19,Outdoor Movie Night,-15.0,Entertainment,200
2024-07-20,Pet Grooming,-70.0,Pets,201
2024-07-21,Travel Insurance,-45.0,Insurance,202
2024-07-22,Dermatologist Appointment,-150.0,Health,203
2024-07-23,Laptop Cooling Pad,-29.99,Office,204
2024-07-24,Summer BBQ Supplies,-75.0,Food,205
2024-07-25,Environmental Charity Donation,60.0,Donations,206
2024-07-26,Airport Shuttle,-30.0,Transportation,207
2024-07-27,Air Conditioner Maintenance,-150.0,Home Improvement,208
2024-07-28,Swimming Lessons,-100.0,Health,209
2024-07-29,Outdoor Concert Tickets,-80.0,Entertainment,210
2024-07-30,Grocery Delivery,-89.75,Food,211
2024-07-31,Rent Payment,-1200.0,Housing,212
2024-08-01,Paycheck,3000.0,Income,213
2024-08-02,Gas Station,-49.5,Transportation,214
2024-08-03,Online Retailer,-78.99,Shopping,215
2024-08-04,Coffee Shop,-5.75,Food,216
2024-08-05,Water Bill,-52.0,Utilities,217
2024-08-06,Restaurant,-68.25,Food,218
2024-08-07,Streaming Service,-14.99,Entertainment,219
2024-08-08,Pharmacy,-41.75,Health,220
2024-08-09,Gym Membership,-50.0,Health,221
2024-08-10,Mobile Phone Bill,-75.0,Utilities,222
2024-08-11,School Supplies,-120.5,Education,223
2024-08-12,Public Transport,-30.0,Transportation,224
2024-08-13,Back-to-School Clothing,-175.0,Shopping,225
2024-08-14,Supermarket,-101.25,Food,226
2024-08-15,Internet Service,-60.0,Utilities,227
2024-08-15,Paycheck,3000.0,Income,227
2024-08-16,Haircut and Styling,-55.0,Personal Care,228
2024-08-17,Home Paint Job,-200.0,Home Improvement,229
2024-08-18,Fast Food,-13.5,Food,230
2024-08-19,Video Game Purchase,-59.99,Entertainment,231
2024-08-20,Pet Check-up,-95.0,Pets,232
2024-08-21,Car Insurance,-150.0,Insurance,233
2024-08-22,Annual Physical,-25.0,Health,234
2024-08-23,Office Chair,-189.99,Office,235
2024-08-24,Farmers Market Produce,-35.0,Food,236
2024-08-25,Local Food Bank Donation,50.0,Donations,237
2024-08-26,Bike Rental,-20.0,Transportation,238
2024-08-27,Window Cleaning Service,-75.0,Home Improvement,239
2024-08-28,Yoga Workshop,-40.0,Health,240
2024-08-29,Museum Membership,-65.0,Entertainment,241
2024-08-30,Grocery Delivery,-93.5,Food,242
2024-08-31,Rent Payment,-1200.0,Housing,243
2024-09-01,Paycheck,3000.0,Income,244
2024-09-02,Grocery Store,-85.32,Food,245
2024-09-03,Gas Station,-45.67,Transportation,246
2024-09-04,Online Retailer,-129.99,Shopping,247
2024-09-05,Coffee Shop,-4.5,Food,248
2024-09-05,Electric Company,-120.0,Utilities,248
2024-09-05,Freelance Work,500.0,Income,248
2024-09-06,Restaurant,-65.75,Food,249
2024-09-07,Movie Theater,-28.5,Entertainment,250
2024-09-08,Pharmacy,-32.45,Health,251
2024-09-08,Gift from Family,100.0,Gifts,251
2024-09-09,Gym Membership,-50.0,Health,252
2024-09-10,Mobile Phone Bill,-75.0,Utilities,253
2024-09-11,Bookstore,-39.99,Education,254
2024-09-12,Public Transport,-30.0,Transportation,255
2024-09-12,Side Gig,150.0,Income,255
2024-09-13,Clothing Store,-89.5,Shopping,256
2024-09-14,Supermarket,-102.75,Food,257
2024-09-15,Internet Service,-60.0,Utilities,258
2024-09-15,Paycheck,3000.0,Income,258
2024-09-16,Hair Salon,-55.0,Personal Care,259
2024-09-17,Hardware Store,-78.25,Home Improvement,260
2024-09-18,Fast Food,-12.99,Food,261
2024-09-18,Interest Income,25.5,Investment,261
2024-09-19,Streaming Service,-14.99,Entertainment,262
2024-09-20,Pet Store,-45.5,Pets,263
2024-09-20,Dividend Payment,75.0,Investment,263
2024-09-21,Car Insurance,-150.0,Insurance,264
2024-09-22,Dentist,-200.0,Health,265
2024-09-22,Tax Refund,250.0,Income,265
2024-09-23,Office Supplies,-28.75,Office,266
2024-09-24,Lunch with Colleagues,-35.0,Food,267
2024-09-25,Charity Donation,50.0,Donations,268
2024-09-25,Cashback Rewards,35.75,Income,268
2024-09-26,Parking Fee,-15.0,Transportation,269
2024-09-27,Home Decor Store,-75.5,Home Improvement,270
2024-09-28,Gym Equipment,-199.99,Health,271
2024-09-29,Concert Tickets,-120.0,Entertainment,272
2024-09-30,Grocery Delivery,-95.25,Food,273
2024-09-30,Rent Payment,-1200.0,Housing,273
